Number,Name,Time,Stands,Cluster
4,GREEK STREET,06:40:00,12.131782945736434,2
4,GREEK STREET,06:50:00,12.095115681233933,2
4,GREEK STREET,07:00:00,12.110824742268042,2
4,GREEK STREET,07:10:00,12.036175710594316,2
4,GREEK STREET,07:20:00,12.43041237113402,2
4,GREEK STREET,07:30:00,13.255154639175258,2
4,GREEK STREET,07:40:00,13.874358974358975,2
4,GREEK STREET,07:50:00,13.858267716535433,2
4,GREEK STREET,08:00:00,13.50909090909091,2
4,GREEK STREET,08:10:00,13.341968911917098,2
4,GREEK STREET,08:20:00,13.23650385604113,2
4,GREEK STREET,08:30:00,12.99740932642487,2
4,GREEK STREET,08:40:00,13.175710594315245,2
4,GREEK STREET,08:50:00,13.324742268041238,2
4,GREEK STREET,09:00:00,13.20103092783505,2
4,GREEK STREET,09:10:00,13.097435897435897,2
4,GREEK STREET,09:20:00,12.843589743589744,2
4,GREEK STREET,09:30:00,12.735064935064935,2
4,GREEK STREET,09:40:00,12.677749360613811,2
4,GREEK STREET,09:50:00,12.576227390180879,2
4,GREEK STREET,10:00:00,12.585051546391753,2
4,GREEK STREET,10:10:00,12.617571059431524,2
4,GREEK STREET,10:20:00,12.655352480417754,2
4,GREEK STREET,10:30:00,12.633507853403142,2
4,GREEK STREET,10:40:00,12.899742930591259,2
4,GREEK STREET,10:50:00,13.05958549222798,2
4,GREEK STREET,11:00:00,13.182051282051281,2
4,GREEK STREET,11:10:00,13.394255874673629,2
4,GREEK STREET,11:20:00,13.58656330749354,2
4,GREEK STREET,11:30:00,13.74742268041237,2
4,GREEK STREET,11:40:00,13.922879177377892,2
4,GREEK STREET,11:50:00,14.041450777202073,2
4,GREEK STREET,12:00:00,14.066838046272494,2
4,GREEK STREET,12:10:00,14.059431524547804,2
4,GREEK STREET,12:20:00,14.093023255813954,2
4,GREEK STREET,12:30:00,14.092783505154639,2
4,GREEK STREET,12:40:00,14.104166666666666,2
4,GREEK STREET,12:50:00,13.862694300518134,2
4,GREEK STREET,13:00:00,13.735897435897435,2
4,GREEK STREET,13:10:00,13.764248704663212,2
4,GREEK STREET,13:20:00,13.827676240208877,2
4,GREEK STREET,13:30:00,13.759791122715404,2
4,GREEK STREET,13:40:00,13.72680412371134,2
4,GREEK STREET,13:50:00,13.624040920716112,2
4,GREEK STREET,14:00:00,13.572538860103627,2
4,GREEK STREET,14:10:00,13.444444444444445,2
4,GREEK STREET,14:20:00,13.343669250645995,2
4,GREEK STREET,14:30:00,13.414507772020725,2
4,GREEK STREET,14:40:00,13.36910994764398,2
4,GREEK STREET,14:50:00,13.368146214099216,2
4,GREEK STREET,15:00:00,13.585492227979275,2
4,GREEK STREET,15:10:00,13.7890625,2
4,GREEK STREET,15:20:00,13.783641160949868,2
4,GREEK STREET,15:30:00,13.753246753246753,2
4,GREEK STREET,15:40:00,13.829457364341085,2
4,GREEK STREET,15:50:00,13.825192802056556,2
4,GREEK STREET,16:00:00,14.083333333333334,2
4,GREEK STREET,16:10:00,14.223076923076922,2
4,GREEK STREET,16:20:00,14.223376623376623,2
4,GREEK STREET,16:30:00,14.2,2
4,GREEK STREET,16:40:00,14.239074550128535,2
4,GREEK STREET,16:50:00,14.233160621761659,2
4,GREEK STREET,17:00:00,14.350515463917526,2
4,GREEK STREET,17:10:00,14.228205128205127,2
4,GREEK STREET,17:20:00,14.348958333333334,2
4,GREEK STREET,17:30:00,14.374025974025974,2
4,GREEK STREET,17:40:00,14.291989664082687,2
4,GREEK STREET,17:50:00,14.129533678756477,2
4,GREEK STREET,18:00:00,13.994832041343669,2
4,GREEK STREET,18:10:00,13.793814432989691,2
4,GREEK STREET,18:20:00,13.672680412371134,2
4,GREEK STREET,18:30:00,13.510204081632653,2
4,GREEK STREET,18:40:00,13.366925064599483,2
4,GREEK STREET,18:50:00,13.132124352331607,2
4,GREEK STREET,19:00:00,12.813471502590673,2
4,GREEK STREET,19:10:00,12.55181347150259,2
4,GREEK STREET,19:20:00,12.31496062992126,2
4,GREEK STREET,19:30:00,12.230971128608925,2
4,GREEK STREET,19:40:00,12.321052631578947,2
4,GREEK STREET,19:50:00,12.218181818181819,2
4,GREEK STREET,20:00:00,12.091145833333334,2
4,GREEK STREET,20:10:00,12.05958549222798,2
4,GREEK STREET,20:20:00,11.958333333333334,2
4,GREEK STREET,20:30:00,11.845549738219896,2
4,GREEK STREET,20:40:00,11.756544502617801,2
4,GREEK STREET,20:50:00,11.664082687338501,2
4,GREEK STREET,21:00:00,11.432291666666666,2
4,GREEK STREET,21:10:00,11.31496062992126,2
4,GREEK STREET,21:20:00,11.277922077922078,2
4,GREEK STREET,21:30:00,11.174025974025975,2
4,GREEK STREET,21:40:00,11.094240837696335,2
4,GREEK STREET,21:50:00,11.088541666666666,2
4,GREEK STREET,22:00:00,11.095360824742269,2
4,GREEK STREET,22:10:00,10.957671957671957,2
4,GREEK STREET,22:20:00,10.878238341968911,2
4,GREEK STREET,22:30:00,10.729658792650918,2
4,GREEK STREET,22:40:00,10.731266149870802,2
4,GREEK STREET,22:50:00,10.752604166666666,2
4,GREEK STREET,23:00:00,10.727748691099476,2
4,GREEK STREET,23:10:00,10.67018469656992,2
4,GREEK STREET,23:20:00,10.802631578947368,2
4,GREEK STREET,23:30:00,10.72279792746114,2
4,GREEK STREET,23:40:00,10.706493506493507,2
4,GREEK STREET,23:50:00,10.6953125,2
5,CHARLEMONT PLACE,00:00:00,23.8659793814433,3
5,CHARLEMONT PLACE,00:10:00,23.935400516795866,3
5,CHARLEMONT PLACE,00:20:00,24.013054830287206,3
5,CHARLEMONT PLACE,00:30:00,24.0,3
5,CHARLEMONT PLACE,00:40:00,23.902313624678662,3
5,CHARLEMONT PLACE,00:50:00,23.858611825192803,3
5,CHARLEMONT PLACE,01:00:00,23.90745501285347,3
5,CHARLEMONT PLACE,01:10:00,23.897172236503856,3
5,CHARLEMONT PLACE,01:20:00,23.824289405684755,3
5,CHARLEMONT PLACE,01:30:00,23.76923076923077,3
5,CHARLEMONT PLACE,01:40:00,23.84102564102564,3
5,CHARLEMONT PLACE,01:50:00,23.805128205128206,3
5,CHARLEMONT PLACE,02:00:00,23.79539641943734,3
5,CHARLEMONT PLACE,02:10:00,23.723785166240408,3
5,CHARLEMONT PLACE,02:20:00,24.893854748603353,3
5,CHARLEMONT PLACE,02:30:00,23.154098360655738,3
5,CHARLEMONT PLACE,02:40:00,23.186486486486487,3
5,CHARLEMONT PLACE,02:50:00,23.084269662921347,3
5,CHARLEMONT PLACE,03:00:00,23.522309711286088,3
5,CHARLEMONT PLACE,03:10:00,23.612403100775193,3
5,CHARLEMONT PLACE,03:20:00,24.298666666666666,3
5,CHARLEMONT PLACE,03:30:00,23.819571865443425,3
5,CHARLEMONT PLACE,03:40:00,23.65934065934066,3
5,CHARLEMONT PLACE,03:50:00,23.60217983651226,3
5,CHARLEMONT PLACE,04:00:00,23.620512820512822,3
5,CHARLEMONT PLACE,04:10:00,23.15856777493606,3
5,CHARLEMONT PLACE,04:20:00,22.061381074168796,3
5,CHARLEMONT PLACE,04:30:00,21.320413436692508,3
5,CHARLEMONT PLACE,04:40:00,20.81491002570694,3
5,CHARLEMONT PLACE,04:50:00,20.658854166666668,3
5,CHARLEMONT PLACE,05:00:00,20.790697674418606,3
5,CHARLEMONT PLACE,05:10:00,20.83076923076923,3
5,CHARLEMONT PLACE,05:20:00,20.527131782945737,3
5,CHARLEMONT PLACE,05:30:00,20.059431524547804,3
5,CHARLEMONT PLACE,05:40:00,19.416020671834627,3
5,CHARLEMONT PLACE,05:50:00,19.0,3
5,CHARLEMONT PLACE,06:00:00,19.585051546391753,3
5,CHARLEMONT PLACE,06:10:00,20.554123711340207,3
5,CHARLEMONT PLACE,06:20:00,22.020565552699228,3
5,CHARLEMONT PLACE,06:30:00,23.8,3
5,CHARLEMONT PLACE,06:40:00,24.51413881748072,3
5,CHARLEMONT PLACE,06:50:00,25.162371134020617,3
5,CHARLEMONT PLACE,07:00:00,26.121134020618555,3
5,CHARLEMONT PLACE,07:10:00,27.184143222506393,3
5,CHARLEMONT PLACE,07:20:00,28.84715025906736,3
5,CHARLEMONT PLACE,07:30:00,29.940721649484537,3
5,CHARLEMONT PLACE,07:40:00,30.16321243523316,3
5,CHARLEMONT PLACE,07:50:00,30.191214470284237,3
5,CHARLEMONT PLACE,08:00:00,30.432642487046632,3
5,CHARLEMONT PLACE,08:10:00,30.096938775510203,3
5,CHARLEMONT PLACE,08:20:00,29.90463917525773,3
5,CHARLEMONT PLACE,08:30:00,29.553846153846155,3
5,CHARLEMONT PLACE,08:40:00,29.32225063938619,3
5,CHARLEMONT PLACE,08:50:00,29.150259067357513,3
5,CHARLEMONT PLACE,09:00:00,28.44987146529563,3
5,CHARLEMONT PLACE,09:10:00,28.197943444730075,3
5,CHARLEMONT PLACE,09:20:00,27.641025641025642,3
5,CHARLEMONT PLACE,09:30:00,27.256410256410255,3
5,CHARLEMONT PLACE,09:40:00,27.647668393782382,3
5,CHARLEMONT PLACE,09:50:00,27.940104166666668,3
5,CHARLEMONT PLACE,10:00:00,27.59536082474227,3
5,CHARLEMONT PLACE,10:10:00,27.398457583547557,3
5,CHARLEMONT PLACE,10:20:00,27.350649350649352,3
5,CHARLEMONT PLACE,10:30:00,27.783854166666668,3
5,CHARLEMONT PLACE,10:40:00,27.884318766066837,3
